system,mat_size,task_size(MB),corrsize_in_os(bytes),latency(us),bw(MB/s),d(ms),K
coolmuc2,128,0.39,524288.0,87.5,6498.3,0.147515696412908,1015655
coolmuc2,256,1.57,2097152.0,329.2,6520.9,0.5699643116747688,262867
coolmuc2,512,6.29,8388608.0,1293.7,6526.5,2.2574631195893664,66368
coolmuc2,1024,25.16,33554432.0,5149.1,6528.2,9.003148589197634,16641
coolmuc2,1280,39.32,67108864.0,10288.7,6528.5,16.311523006816266,9185
coolmuc2,1536,56.62,134217728.0,20568.6,6528.6,29.24120974787856,5123
coolmuc2,1792,77.07,134217728.0,20568.6,6528.6,32.373581159819864,4628
sng,128,0.39,524288.0,54.6,11888.1,0.08740591515885633,1714130
sng,256,1.57,2097152.0,187.0,12021.8,0.31759608378113097,471747
sng,512,6.29,8388608.0,717.8,12059.7,1.239371846729189,120887
sng,1024,25.16,33554432.0,2824.5,12069.4,4.909110668301656,30519
sng,1280,39.32,67108864.0,5610.3,12071.2,8.867639783948572,16895
sng,1536,56.62,134217728.0,11931.3,12057.4,16.62717141506461,9010
sng,1792,77.07,134217728.0,11931.3,12057.4,18.32322529069285,8176
beast,128,0.39,524288.0,43.5,21872.5,0.06133060921248143,2442910
beast,256,1.57,2097152.0,94.7,21991.8,0.16609024545512419,902070
beast,512,6.29,8388608.0,364.7,22018.4,0.6503701667696109,230369
beast,1024,25.16,33554432.0,1444.3,22026.6,2.586555273169713,57924
beast,1280,39.32,67108864.0,2883.6,22028.0,4.668600907935356,32092
beast,1536,56.62,134217728.0,5762.5,22028.5,8.332806648205734,17980
beast,1792,77.07,134217728.0,5762.5,22028.5,9.261149476814126,16177
